fund,ticker,company,previous_reported_date,current_reported_date,previous_shares,current_shares,raw_shares_delta,previous_weight,current_weight,weight_delta,estimated_creation_redemption_factor,flow_factor_confidence,flow_factor_sample_size,flow_adjusted_manager_delta,flow_adjusted_direction
ARKG,VCYT,VERACYTE INC,2026-09-24,2026-09-25,1038483,1034667,-3816,2.18,2.3,0.11999999999999966,-0.0036761366517567007,0.96875,32,1.6054185262182727,Flow/Noise
ARKG,TWST,TWIST BIOSCIENCE CORP,2026-09-24,2026-09-25,1181244,1176903,-4341,8.99,9.94,0.9499999999999993,-0.0036761366517567007,0.96875,32,1.4143630675971508,Flow/Noise
ARKG,ARCT UQ,ARCTURUS THERAPEUTICS HOLDIN,2026-09-24,2026-09-25,2771687,2761499,-10188,1.77,1.79,0.020000000000000018,-0.0036761366517567007,0.96875,32,1.1001678975299,Flow/Noise
ARKG,BFLY,BUTTERFLY NETWORK INC,2026-09-24,2026-09-25,4824008,4806275,-17733,2.13,2.08,-0.04999999999999982,-0.0036761366517567007,0.96875,32,0.7126171672716737,Flow/Noise
ARKG,SDGR,SCHRODINGER INC,2026-09-24,2026-09-25,2207624,2199509,-8115,3.1,2.97,-0.1299999999999999,-0.0036761366517567007,0.96875,32,0.5274996976368129,Flow/Noise
ARKG,NRIX,NURIX THERAPEUTICS INC,2026-09-24,2026-09-25,1700810,1694558,-6252,1.95,1.84,-0.10999999999999988,-0.0036761366517567007,0.96875,32,0.4099786742590368,Flow/Noise
ARKG,BEAM,BEAM THERAPEUTICS INC,2026-09-24,2026-09-25,2651470,2641723,-9747,3.1,2.99,-0.10999999999999988,-0.0036761366517567007,0.96875,32,0.16604803316295147,Flow/Noise
ARKG,ADPT,ADAPTIVE BIOTECHNOLOGIES,2026-09-24,2026-09-25,1794547,1787950,-6597,2.4,2.43,0.03000000000000025,-0.0036761366517567007,0.96875,32,0.0,Flow/Noise
ARKG,TXG,10X GENOMICS INC-CLASS A,2026-09-24,2026-09-25,2505347,2496137,-9210,9.09,9.64,0.5500000000000007,-0.0036761366517567007,0.96875,32,-0.0020679314620792866,Flow/Noise
ARKG,ALMR,ALAMAR BIOSCIENCES INC,2026-09-24,2026-09-25,967852,964294,-3558,1.49,1.47,-0.020000000000000018,-0.0036761366517567007,0.96875,32,-0.04378932400140911,Flow/Noise
ARKG,FRNM,FREENOME INC,2026-09-24,2026-09-25,729519,726837,-2682,0.55,0.53,-0.020000000000000018,-0.0036761366517567007,0.96875,32,-0.1884659470524639,Flow/Noise
ARKG,CMPS,COMPASS PATHWAYS PLC,2026-09-24,2026-09-25,4513654,4497061,-16593,2.98,2.7,-0.2799999999999998,-0.0036761366517567007,0.96875,32,-0.19109725207090378,Flow/Noise
ARKG,QSI,QUANTUM-SI INC,2026-09-24,2026-09-25,6836196,6811065,-25131,0.25,0.25,0.0,-0.0036761366517567007,0.96875,32,-0.20932580716907978,Flow/Noise
ARKG,CDNA,CAREDX INC,2026-09-24,2026-09-25,1479463,1474024,-5439,3.86,4.15,0.2900000000000005,-0.0036761366517567007,0.96875,32,-0.2918407821562141,Flow/Noise
ARKG,CRSP,CRISPR THERAPEUTICS AG,2026-09-24,2026-09-25,2097978,2090265,-7713,5.61,5.34,-0.27000000000000046,-0.0036761366517567007,0.96875,32,-0.5461796207819134,Flow/Noise
